id,date,mdsLatency,pubLatency,netLatency
136,2016-09-27 13:58:39.888,5.415553,0.073217,0.003977
137,2016-09-27 13:58:39.888,5.422389,0.080053,0.004424
138,2016-09-27 13:58:39.888,5.428027,0.085691,0.003826
139,2016-09-27 13:58:39.888,5.420100,0.077764,0.004433
140,2016-09-27 13:58:39.888,5.427023,0.084687,0.004394
141,2016-09-27 13:58:39.888,5.431476,0.089140,0.003344
142,2016-09-27 13:58:39.888,5.423674,0.081338,0.003458
143,2016-09-27 13:58:39.888,5.430861,0.088525,0.003730
144,2016-09-27 13:58:39.888,5.436055,0.093719,0.004474
145,2016-09-27 13:58:39.888,5.399954,0.057618,0.003943
146,2016-09-27 13:58:39.888,5.428581,0.086245,0.004751
147,2016-09-27 13:58:39.888,5.435171,0.092835,0.004179
148,2016-09-27 13:58:39.888,5.440639,0.098303,0.004472
149,2016-09-27 13:58:39.888,5.405437,0.063101,0.005336
150,2016-09-27 13:58:39.888,5.424187,0.081851,0.004399
151,2016-09-27 13:58:39.888,5.432714,0.090378,0.004011
152,2016-09-27 13:58:39.888,5.439088,0.096752,0.003812
153,2016-09-27 13:58:39.888,5.444803,0.102467,0.004034
154,2016-09-27 13:58:39.888,5.410299,0.067963,0.004685
155,2016-09-27 13:58:39.888,5.427690,0.085354,0.003401
156,2016-09-27 13:58:39.888,5.442951,0.100615,0.003751
157,2016-09-27 13:58:39.888,5.437151,0.094815,0.004328
158,2016-09-27 13:58:39.888,5.448768,0.106432,0.003851
159,2016-09-27 13:58:39.888,5.415114,0.072778,0.004655
160,2016-09-27 13:58:39.888,5.433229,0.090893,0.005439
161,2016-09-27 13:58:39.888,5.446569,0.104233,0.003506
162,2016-09-27 13:58:39.888,5.441735,0.099399,0.004465
163,2016-09-27 13:58:39.888,5.453105,0.110769,0.004232
164,2016-09-27 13:58:39.888,5.419231,0.076895,0.003961
165,2016-09-27 13:58:39.888,5.437685,0.095349,0.004347
166,2016-09-27 13:58:39.888,5.450501,0.108165,0.003808
167,2016-09-27 13:58:39.888,5.457704,0.115368,0.004503
168,2016-09-27 13:58:39.888,5.445737,0.103401,0.003874
169,2016-09-27 13:58:39.888,5.423828,0.081492,0.004469
170,2016-09-27 13:58:39.888,5.441495,0.099159,0.003704
171,2016-09-27 13:58:39.888,5.455120,0.112784,0.004477
172,2016-09-27 13:58:39.888,5.461356,0.119020,0.003534
173,2016-09-27 13:58:39.888,5.449814,0.107478,0.003945
174,2016-09-27 13:58:39.888,5.428664,0.086328,0.004695
175,2016-09-27 13:58:39.888,5.445306,0.102970,0.003708
176,2016-09-27 13:58:39.888,5.459270,0.116934,0.004038
177,2016-09-27 13:58:39.888,5.454103,0.111767,0.004182
178,2016-09-27 13:58:39.888,5.432027,0.089691,0.003238
179,2016-09-27 13:58:39.888,5.449087,0.106751,0.003664
180,2016-09-27 13:58:39.888,5.463730,0.121394,0.004352
181,2016-09-27 13:58:39.888,5.458464,0.116128,0.004256
182,2016-09-27 13:58:39.888,5.436337,0.094001,0.004158
183,2016-09-27 13:58:39.888,5.454116,0.111780,0.004917
184,2016-09-27 13:58:39.888,5.467490,0.125154,0.003649
185,2016-09-27 13:58:39.888,5.462484,0.120148,0.003909
186,2016-09-27 13:58:39.888,5.440451,0.098115,0.003998
187,2016-09-27 13:58:39.888,5.458399,0.116063,0.004167
188,2016-09-27 13:58:39.888,5.466623,0.124287,0.004028
189,2016-09-27 13:58:39.888,5.444803,0.102467,0.004238
190,2016-09-27 13:58:39.888,5.470466,0.128130,0.003732
191,2016-09-27 13:58:39.888,5.449551,0.107215,0.004626
192,2016-09-27 13:58:39.888,5.453254,0.110918,0.003547
193,2016-09-27 13:58:39.888,5.456986,0.114650,0.003597
194,2016-09-27 13:58:39.888,5.461350,0.119014,0.004249
195,2016-09-27 13:58:39.888,5.468301,0.125965,0.006844
196,2016-09-27 13:58:39.888,5.472686,0.130350,0.004244
197,2016-09-27 13:58:39.888,5.477494,0.135158,0.004666
198,2016-09-27 13:58:39.888,5.481466,0.139130,0.003844
199,2016-09-27 13:58:39.892,5.601638,0.013221,0.004567
200,2016-09-27 13:58:39.892,5.608297,0.019880,0.004309
201,2016-09-27 13:58:39.892,5.606784,0.018367,0.006176
202,2016-09-27 13:58:39.892,5.611177,0.022760,0.002731
203,2016-09-27 13:58:39.892,5.604511,0.016094,0.002725
204,2016-09-27 13:58:39.892,5.609802,0.021385,0.002812
205,2016-09-27 13:58:39.892,5.613877,0.025460,0.002584
206,2016-09-27 13:58:39.892,5.607547,0.019130,0.002917
207,2016-09-27 13:58:39.892,5.612482,0.024065,0.004860
208,2016-09-27 13:58:39.892,5.610602,0.022185,0.002944
209,2016-09-27 13:58:39.892,5.617493,0.029076,0.003496
